ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
2019-06-12_10:38:10 - Epoch: 1, val_loss: 3746499.250000, val_weighted_mean_squared_error: 44.410759, val_weighted_shape_metric: 8394866.000000, loss: 16272282.500000, weighted_mean_squared_error: 83.934912, weighted_shape_metric: 26517096.000000
2019-06-12_10:38:10 - Epoch: 2, val_loss: 2551951.750000, val_weighted_mean_squared_error: 51.509026, val_weighted_shape_metric: 5500749.500000, loss: 17086784.500000, weighted_mean_squared_error: 96.446579, weighted_shape_metric: 28158830.000000
2019-06-12_10:38:10 - Epoch: 3, val_loss: 1899116.625000, val_weighted_mean_squared_error: 56.694927, val_weighted_shape_metric: 3705037.500000, loss: 14180980.000000, weighted_mean_squared_error: 93.029072, weighted_shape_metric: 17355824.000000
2019-06-12_10:38:10 - Epoch: 4, val_loss: 1637973.500000, val_weighted_mean_squared_error: 64.924530, val_weighted_shape_metric: 2977801.500000, loss: 6327190.250000, weighted_mean_squared_error: 119.564301, weighted_shape_metric: 15592897.000000
2019-06-12_10:38:10 - Epoch: 5, val_loss: 1464504.625000, val_weighted_mean_squared_error: 65.602676, val_weighted_shape_metric: 2609347.000000, loss: 4827970.750000, weighted_mean_squared_error: 71.364113, weighted_shape_metric: 10783522.500000
2019-06-12_10:38:11 - Epoch: 6, val_loss: 1346690.000000, val_weighted_mean_squared_error: 64.830826, val_weighted_shape_metric: 2400735.250000, loss: 3166707.437500, weighted_mean_squared_error: 84.642713, weighted_shape_metric: 5368816.000000
2019-06-12_10:38:11 - Epoch: 7, val_loss: 1273934.000000, val_weighted_mean_squared_error: 69.735748, val_weighted_shape_metric: 2283975.500000, loss: 1926708.937500, weighted_mean_squared_error: 97.306286, weighted_shape_metric: 2891659.000000
2019-06-12_10:38:11 - Epoch: 8, val_loss: 1215071.625000, val_weighted_mean_squared_error: 75.092461, val_weighted_shape_metric: 2202607.500000, loss: 2349082.562500, weighted_mean_squared_error: 117.630836, weighted_shape_metric: 4234229.250000
2019-06-12_10:38:11 - Epoch: 9, val_loss: 1157862.750000, val_weighted_mean_squared_error: 77.552315, val_weighted_shape_metric: 2128590.500000, loss: 1909180.000000, weighted_mean_squared_error: 100.756182, weighted_shape_metric: 3139637.750000
2019-06-12_10:38:11 - Epoch: 10, val_loss: 1098295.000000, val_weighted_mean_squared_error: 77.312477, val_weighted_shape_metric: 2052756.750000, loss: 1861932.312500, weighted_mean_squared_error: 85.467564, weighted_shape_metric: 7756670.500000
